,Unnamed: 0,Topics,Sentences,Scores,pos,neg,compound,type,Sentiments_GloVe
39,39,0, the total number of mathematically possible states for this dispute is,"{'neg': 0.233, 'neu': 0.67, 'pos': 0.097, 'compound': -0.4263}",0.097,0.233,-0.4263,NEG,negative
40,40,0, The dispute between the Eastern Nile countries in August is a continuation of their negotiation that occurred in January et,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.4019}",0.0,0.13,-0.4019,NEG,negative
41,41,0, State the equilibrium state for the dispute that took place on January was the status quo for the conict just before August,"{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.4019}",0.0,0.114,-0.4019,NEG,positive
42,42,0, As can be state comprises the strong equilibrium for the conict because it is a resolution under Table Ranking of states for the DMs in the conict just before August Strategic Analyses of the Hydropolitical Table Stability analysis and equilibrium results for the negotiation on August Table Evolution of the conict just before August and,"{'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.5106}",0.059,0.0,0.5106,POS,positive
43,43,0, As can be the dispute began by moving from state the status quo of the dispute and the equilibrium state for the conict in early January on the via a transitional state to the nal state on the,"{'neg': 0.134, 'neu': 0.866, 'pos': 0.0, 'compound': -0.6597}",0.0,0.134,-0.6597,NEG,negative
44,44,0, Case studies of transboundary dispute,"{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4019}",0.0,0.403,-0.4019,NEG,negative
45,45,0, Conflict conflict resolutions and comments for the selected basins Conflict causes Conflict resolution comments River basin Senqu Rhine Aral Sea Water water Political boundaries between South Africa and Namibia,"{'neg': 0.269, 'neu': 0.731, 'pos': 0.0, 'compound': -0.802}",0.0,0.269,-0.802,NEG,positive
46,46,0, The international management of the selected basins was as introduced in Table through conflict mechanisms of dispute followed by our comments about the management of each,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.6124}",0.0,0.172,-0.6124,NEG,negative
47,47,0, Khorbotly The Nile river A case study in surface water conflict,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}",0.0,0.204,-0.3182,NEG,positive
48,48,0, A Source of Conflict or Science Publishers,"{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}",0.0,0.315,-0.3182,NEG,positive
49,49,0, Mostert Conflict and cooperation in international freshwater A global,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.3182}",0.0,0.247,-0.3182,NEG,positive
50,50,0, Construction of Grand Ethiopian Renaissance Dam on the Cause for Cooperation or Conflict among Ethiopia and Sudan Natan Aslake Benedikt Schoenborn University of Tampere School of Social Sciences and Humanities Degree Program in Mediation and Conflict Research and Conflict Thesis May Abstract At the time of writing this the construction of Grand Ethiopian Renaissance Dam is,"{'neg': 0.108, 'neu': 0.798, 'pos': 0.094, 'compound': 0.0258}",0.094,0.108,0.0258,POS,negative
51,51,0, Ethiopian Grand Renaissance Framework of Eastern Nile Conflict and Nile,"{'neg': 0.173, 'neu': 0.602, 'pos': 0.226, 'compound': 0.1779}",0.226,0.173,0.1779,POS,negative
52,52,0, sorts out the type of conflicts that might arise from the common water resource disputes point of view conflict arising through the use and conflict arising through,"{'neg': 0.288, 'neu': 0.712, 'pos': 0.0, 'compound': -0.8074}",0.0,0.288,-0.8074,NEG,positive
53,53,0, after discussing the categorization in detail Haftendorn hold contrast to a conflict arising over which can result in tension between the a conflict of distribution can lead towards violence or military,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.875}",0.0,0.306,-0.875,NEG,positive
54,54,0, By way of the hydro hegemony framework is a systematic way of conflict analysis by the implications of varying intensities of conflict and the dynamics of hegemony at the river basin,"{'neg': 0.136, 'neu': 0.801, 'pos': 0.062, 'compound': -0.3612}",0.062,0.136,-0.3612,NEG,positive
55,55,0, Conflict will be interpreted in a vast range of,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.3182}",0.0,0.247,-0.3182,NEG,positive
56,56,0, the conflict intensity frame indicates that the discrepancies in intensity of different conflicts and the trending of the degree that same conflict has gone through over,"{'neg': 0.238, 'neu': 0.762, 'pos': 0.0, 'compound': -0.7351}",0.0,0.238,-0.7351,NEG,positive
57,57,0, This is an indication that the conflict of interests on the GERD is not confined to Ethiopia and Egypt but impacts between Egyptian and Sudanese hydro political,"{'neg': 0.059, 'neu': 0.888, 'pos': 0.053, 'compound': -0.0387}",0.053,0.059,-0.0387,NEG,positive
58,58,0, Military,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
59,59,0, bargaining or negotiation,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
60,60,0, conflict intensity scale measurement ranges between,"{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}",0.0,0.315,-0.3182,NEG,positive
61,61,0, In this framework was developed to evaluate international river at potential risk for future conflict by studying historical conflict and cooperation,"{'neg': 0.271, 'neu': 0.729, 'pos': 0.0, 'compound': -0.6908}",0.0,0.271,-0.6908,NEG,positive
62,62,0, the thesis has opened a new avenue in applying the Yoffe water conflict intensity scale to measure the conflict or cooperation of riparian states in specific water development project in a particular basin system,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.5574}",0.0,0.133,-0.5574,NEG,positive
63,63,0, Hydropolitics in the Third Conflict and cooperation in international river,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}",0.0,0.204,-0.3182,NEG,positive
64,64,0, Water resources and conflict in the Middle,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.3182}",0.0,0.277,-0.3182,NEG,positive
65,65,0, The river Nile in the conflict and cooperation among the Nile Basin,"{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.3182}",0.0,0.173,-0.3182,NEG,positive
66,66,0, Conflict to Peace building The Role of Natural Resources and the,"{'neg': 0.141, 'neu': 0.491, 'pos': 0.368, 'compound': 0.5719}",0.368,0.141,0.5719,POS,positive
67,67,0, Transforming Potential Conflict into Cooperation the role of international water,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}",0.0,0.204,-0.3182,NEG,positive
68,68,0, Conflicts of The authors declare no conflict of,"{'neg': 0.587, 'neu': 0.413, 'pos': 0.0, 'compound': -0.7269}",0.0,0.587,-0.7269,NEG,positive
69,69,0, The Jordan Basin and its water are central issues of both the conflict and the,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.3182}",0.0,0.141,-0.3182,NEG,positive
70,70,0, Water from conict to,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
71,71,0, His Holiness insisted that GERD should serve as a source of cooperation and negotiation than conflict and mistrust as also been expressed by Ethiopian Public Diplomacy Delegation,"{'neg': 0.084, 'neu': 0.916, 'pos': 0.0, 'compound': -0.3182}",0.0,0.084,-0.3182,NEG,positive
72,72,0, Ibrahim clearly noted that war with the conflict and the current threat by the Islamist movement have all been fanned by Egyptian,"{'neg': 0.317, 'neu': 0.594, 'pos': 0.089, 'compound': -0.7845}",0.089,0.317,-0.7845,NEG,positive
73,73,0, Declaring war and launching a military attack on Ethiopia could be one of the possible Egyptian strategies in approaching the new,"{'neg': 0.28, 'neu': 0.72, 'pos': 0.0, 'compound': -0.7906}",0.0,0.28,-0.7906,NEG,positive
74,74,0, Industrial Conflict and the Mass,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.3182}",0.0,0.365,-0.3182,NEG,positive
75,75,0, From Conflict to Cooperation in the Management of boundary The Nile Experience Linking Environment and Security Conflict Prevention and Peace Making in East and Horn of Africa Heinrich Boell,"{'neg': 0.13, 'neu': 0.704, 'pos': 0.166, 'compound': 0.3182}",0.166,0.13,0.3182,POS,positive
76,76,0, In this it is not obvious as to whether cooperation or conflict between Ethiopia and the Sudan,"{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.3182}",0.0,0.126,-0.3182,NEG,positive
77,77,0, the border conflict between North and the South as well as the ongoing conflict in the Western Darfur have stunted economic growth and development and drew its focus away from potential Nile development,"{'neg': 0.12, 'neu': 0.757, 'pos': 0.123, 'compound': 0.0258}",0.123,0.12,0.0258,POS,positive
78,78,0, Report on the EU Cooperation and Natural Resources Conflict in the Horn of,"{'neg': 0.146, 'neu': 0.696, 'pos': 0.158, 'compound': 0.0516}",0.158,0.146,0.0516,POS,positive
79,79,0, The Freshwater Dispute Database,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}",0.0,0.474,-0.4019,NEG,positive
80,80,0, Framework for Resolving the Transboundary Water Allocation Conflict Ground,"{'neg': 0.193, 'neu': 0.588, 'pos': 0.218, 'compound': 0.0772}",0.218,0.193,0.0772,POS,positive
81,81,0, Conict or,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
82,82,0, Loliondo land dispute in resentment from,"{'neg': 0.583, 'neu': 0.417, 'pos': 0.0, 'compound': -0.6808}",0.0,0.583,-0.6808,NEG,negative
83,83,0, Would this new project the rst dam in the Ethiopian portion of the Blue Nile return riparian countries of the Eastern Nile to patterns of hydropolitical conict and dispute that had been the norm before the,"{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.4019}",0.0,0.072,-0.4019,NEG,negative
84,84,0, domestic and conict with Ethiopia over the Nile,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
85,85,0, South conflict and,"{'neg': 0.535, 'neu': 0.465, 'pos': 0.0, 'compound': -0.3182}",0.0,0.535,-0.3182,NEG,positive
86,86,0, Conict of interest The authors declare that they have no conict of,"{'neg': 0.145, 'neu': 0.658, 'pos': 0.197, 'compound': 0.2023}",0.197,0.145,0.2023,POS,positive
87,87,0, Conflict and cooperation related to international water historical,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.3182}",0.0,0.247,-0.3182,NEG,positive
88,88,0, The Nile river a case study in surface water conflict,"{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.3182}",0.0,0.223,-0.3182,NEG,positive
89,89,0, Case study of transboundary dispute the Nile waters,"{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4019}",0.0,0.278,-0.4019,NEG,negative
90,90,0, The East African Community and the conflict over the Nile,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}",0.0,0.204,-0.3182,NEG,positive
91,91,0, A dispute between Egypt and,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}",0.0,0.474,-0.4019,NEG,negative
92,92,0, refers to dispute between Egypt and,"{'neg': 0.351, 'neu': 0.649, 'pos': 0.0, 'compound': -0.4019}",0.0,0.351,-0.4019,NEG,positive
93,93,0, Since the nature of this conict is hard to there is no quantication of the expected ruin from the dispute between both,"{'neg': 0.359, 'neu': 0.641, 'pos': 0.0, 'compound': -0.8442}",0.0,0.359,-0.8442,NEG,negative
94,94,0, Cooperation or Conict,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
95,95,0, Northern Egyptian,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
96,96,0, With the decline of outright conflict in the international some have highlighted that conflict has essentially by embedding itself within the international cooperative mechanisms riparians engage,"{'neg': 0.153, 'neu': 0.767, 'pos': 0.08, 'compound': -0.296}",0.08,0.153,-0.296,NEG,positive
97,97,0, International Crisis,"{'neg': 0.804, 'neu': 0.196, 'pos': 0.0, 'compound': -0.6249}",0.0,0.804,-0.6249,NEG,positive
98,98,0, the threat of military conflict has loomed over the with plans for new upstream developments frequently greeted with threats of war from Egypt and predictions of water war from the,"{'neg': 0.423, 'neu': 0.529, 'pos': 0.048, 'compound': -0.946}",0.048,0.423,-0.946,NEG,positive
99,99,0, In international concerns related to the impacts on growing political conflict within the Basin and the potential for it to be the cause for water war between Ethiopia and Egypt have also,"{'neg': 0.168, 'neu': 0.786, 'pos': 0.046, 'compound': -0.6705}",0.046,0.168,-0.6705,NEG,negative
100,100,0, CSS Environment and Conflict,"{'neg': 0.434, 'neu': 0.566, 'pos': 0.0, 'compound': -0.3182}",0.0,0.434,-0.3182,NEG,positive
101,101,0, Ambiguity in Transboundary Environmental Dispute The Jordanian Water,"{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4019}",0.0,0.278,-0.4019,NEG,positive
102,102,0, The geography of water conflict and internal pressures and international,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.5574}",0.0,0.365,-0.5574,NEG,positive
103,103,0, Calming the the East African community and conflict over the Nile,"{'neg': 0.164, 'neu': 0.643, 'pos': 0.193, 'compound': 0.1027}",0.193,0.164,0.1027,POS,positive
104,104,0, Water in the Middle Conflict or cooperation,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.3182}",0.0,0.277,-0.3182,NEG,positive
105,105,0, Moral economy and popular conflict and authority,"{'neg': 0.221, 'neu': 0.385, 'pos': 0.394, 'compound': 0.2023}",0.394,0.221,0.2023,POS,positive
106,106,0, Egyptian irrigation,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
107,107,0, Conflict and cooperation over international freshwater indicators of basins at,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}",0.0,0.204,-0.3182,NEG,positive
108,108,0, Transboundary water interaction reconsidering conflict and,"{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}",0.0,0.315,-0.3182,NEG,positive
109,109,0, W A T E R BRiEf Peter Gleick and Matthew Heberger Water Conflict Chronology The full Pacific Institute Water Conflict updated for appears,"{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.5574}",0.0,0.223,-0.5574,NEG,positive
110,110,0, Water war in,"{'neg': 0.661, 'neu': 0.339, 'pos': 0.0, 'compound': -0.5994}",0.0,0.661,-0.5994,NEG,positive
111,111,0, Thirst for water and development leads to conflict in,"{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.3182}",0.0,0.223,-0.3182,NEG,positive
112,112,0, American Inventory of Conflict and Environment,"{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}",0.0,0.315,-0.3182,NEG,positive
113,113,0, Lesotho American Inventory of Conflict and Environment,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.3182}",0.0,0.277,-0.3182,NEG,positive
114,114,0, Resolving water Conflict and tion in the United the Near and,"{'neg': 0.146, 'neu': 0.51, 'pos': 0.344, 'compound': 0.4767}",0.344,0.146,0.4767,POS,positive
115,115,0, The War Against,"{'neg': 0.661, 'neu': 0.339, 'pos': 0.0, 'compound': -0.5994}",0.0,0.661,-0.5994,NEG,positive
116,116,0, International river A policy model for conflict,"{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}",0.0,0.315,-0.3182,NEG,positive
117,117,0, Water in the Middle Conflict or,"{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}",0.0,0.315,-0.3182,NEG,positive
118,118,0, Resource A Major Cause of Armed Conflict in the,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.3182}",0.0,0.247,-0.3182,NEG,positive
119,119,0, International fresh water Conflict or,"{'neg': 0.303, 'neu': 0.395, 'pos': 0.303, 'compound': 0.0}",0.303,0.303,0.0,NEUTRAL,positive
120,120,0, Central Looming Conflict over The Upriver,"{'neg': 0.487, 'neu': 0.513, 'pos': 0.0, 'compound': -0.4215}",0.0,0.487,-0.4215,NEG,positive
121,121,0, and Water Conflict and Cooperation along International,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.3182}",0.0,0.277,-0.3182,NEG,positive
122,122,0, transforming conict and,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
123,123,0, The conflict in Ireland goes back to the,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.3182}",0.0,0.247,-0.3182,NEG,positive
124,124,0, The conflict and instability of the region has both and global dimensions of foreign,"{'neg': 0.15, 'neu': 0.85, 'pos': 0.0, 'compound': -0.3182}",0.0,0.15,-0.3182,NEG,positive
125,125,0, It is also a problem of serious conflict that leads to among the political elites of the to allow the peaceful evolution of viable democratic stitutions of governance and conflict,"{'neg': 0.234, 'neu': 0.627, 'pos': 0.139, 'compound': -0.3612}",0.139,0.234,-0.3612,NEG,positive
126,126,0, Improving Institutions of Governance and conflict investing in people,"{'neg': 0.19, 'neu': 0.579, 'pos': 0.231, 'compound': 0.128}",0.231,0.19,0.128,POS,positive
127,127,0, By virtue of my I share the dominant academic vision that war is unnecessary and a primitive way of conflict,"{'neg': 0.237, 'neu': 0.496, 'pos': 0.267, 'compound': -0.0516}",0.267,0.237,-0.0516,NEG,positive
128,128,0, Paper presented at the workshop on Civil War and Post Conflict World Bank Development Research,"{'neg': 0.323, 'neu': 0.677, 'pos': 0.0, 'compound': -0.7351}",0.0,0.323,-0.7351,NEG,negative
129,129,0, Resources The New Land scape of Conflict in,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.3182}",0.0,0.247,-0.3182,NEG,positive
130,130,0, The effect of Conflict on human and the natural environment in East Oxford University,"{'neg': 0.137, 'neu': 0.714, 'pos': 0.149, 'compound': 0.0516}",0.149,0.137,0.0516,POS,positive
131,131,0, Negotiation,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
132,132,0, Good governance and management is a prerequisite to development and conflict,"{'neg': 0.174, 'neu': 0.606, 'pos': 0.22, 'compound': 0.1531}",0.22,0.174,0.1531,POS,positive
133,133,0, This is also a source of conflict when poorly,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.3182}",0.0,0.247,-0.3182,NEG,negative
134,134,0, Conflict and insecurity is widespread due to articulate,"{'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.6249}",0.0,0.459,-0.6249,NEG,positive
135,135,0, The politic of authoritarian rule hegemonic domination should be replaced by the politics of participation and equal rights power to the people with equal opportunities for,"{'neg': 0.043, 'neu': 0.863, 'pos': 0.094, 'compound': 0.34}",0.094,0.043,0.34,POS,positive
136,136,0, Macmillan London Collier Breaking the Conflict Trap Civic War and Development,"{'neg': 0.515, 'neu': 0.485, 'pos': 0.0, 'compound': -0.8176}",0.0,0.515,-0.8176,NEG,positive
137,137,0, Shared Waters Source of Life and Conflict Water can be a source of conflict as riparian states strive to gain a maximum share of the finite water resources in the international water,"{'neg': 0.122, 'neu': 0.665, 'pos': 0.213, 'compound': 0.5267}",0.213,0.122,0.5267,POS,positive
138,138,0, in the Third Conflict and Cooperation in International River,"{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.3182}",0.0,0.223,-0.3182,NEG,positive
139,139,0, The partnerships played a facilitating role in conflict,"{'neg': 0.237, 'neu': 0.515, 'pos': 0.247, 'compound': 0.0258}",0.247,0.237,0.0258,POS,positive
140,140,0, Toward a theory of conflict resolution These three cases illustrate a number of more general points that may serve as the foundation for a theory of conflict resolution around water,"{'neg': 0.154, 'neu': 0.803, 'pos': 0.043, 'compound': -0.5106}",0.043,0.154,-0.5106,NEG,positive
